id;latitude;longitude
33412746;53,60096;9,999201
268505728;53,59417;10,0052
269533339;53,5172;10,10377
274954228;53,54135;10,04766
275627486;53,48411;9,870895
275960215;53,51208;10,09829
277901606;53,52387;10,02192
277999948;53,44673;9,999866
278248172;53,44706;9,990544
279328028;53,60088;10,17042
280954595;53,63206;10,09451
280954690;53,63099;10,08555
280954785;53,62997;10,08378
282661983;53,55233;10,0641
283220483;53,49459;10,17732
289155988;53,43174;9,99463
290027837;53,55246;10,07531
290899881;53,50078;9,995662
291196278;53,66886;10,00134
291549702;53,50347;9,996885
292574319;53,65194;10,18534
293550881;53,64386;10,03623
293757998;53,63907;9,967713
294669840;53,53198;10,05557
294669866;53,53116;10,05409
294669894;53,53115;10,05312
294669896;53,53178;10,05235
294945185;53,6417;10,0354
295251534;53,45044;9,936392
295489175;53,64254;10,03279
295863321;53,47572;9,87573
296168969;53,57361;9,978392
297769509;53,59547;9,872589
298515052;53,62298;10,12738
299162835;53,63929;10,04667
300186637;53,63915;10,02185
300186639;53,63892;10,02212
300186640;53,63857;10,02305
300186642;53,63915;10,02106
300212792;53,6385;10,0327
306901820;53,43386;9,977892
307940836;53,43197;9,994305
307940838;53,43486;9,995013
308222444;53,4425;9,988453
308274252;53,44243;9,988243
309795402;53,56269;9,917752
309795526;53,56363;9,91895
312098794;53,59735;10,18134
321250303;53,67565;10,07898
340106843;53,57899;9,794958
364370792;53,56043;9,90474
368661681;53,52031;10,006
370844349;53,62213;10,12586
370844353;53,6232;10,12708
370844357;53,62324;10,12798
370844361;53,62344;10,1286
370844366;53,62363;10,12926
371748488;53,53623;9,860461
373448497;53,66681;10,0952
385314065;53,67103;10,0281
401543777;53,59812;9,883502
412739737;53,57145;9,991566
420891820;53,62374;10,13535
424220402;53,58079;10,04084
454311317;53,61912;10,1298
471990268;53,59327;10,04594
481984127;53,65702;10,07247
489558822;53,67666;10,12039
507115743;53,56801;10,0152
572511103;53,44237;9,972038
577477533;53,54684;9,978841
592581963;53,59442;10,01623
650007408;53,48274;10,01273
663119199;53,61474;9,899852
674776894;53,48906;10,15759
678877171;53,60685;10,06395
687710192;53,58368;9,99413
735861818;53,60002;9,887517
735861840;53,60064;9,888013
766767807;53,62359;10,12915
803477443;53,47723;9,865076
839802439;53,59359;9,845918
839803345;53,59342;9,845554
839804227;53,59379;9,845976
839804606;53,59347;9,845603
839815402;53,5935;9,851961
839815750;53,59343;9,851381
839815851;53,59347;9,851413
839816888;53,59341;9,85122
839817733;53,59347;9,851188
839817799;53,59407;9,845683
841275401;53,64385;9,956406
859266088;53,59806;9,883033
859268164;53,5983;9,883469
859271205;53,59826;9,883714
908799585;53,55194;10,07652
915391614;53,55684;10,04592
938297606;53,60202;10,1378
938297644;53,60418;10,13203
938297649;53,60171;10,13777
938783824;53,60342;10,13737
938783898;53,60306;10,14087
939054430;53,60027;10,13792
939054434;53,60297;10,13855
942054316;53,60333;10,13602
942054405;53,60319;10,13262
942054416;53,60326;10,13375
942054477;53,6033;10,13492
944557747;53,6159;10,14106
944844782;53,61566;10,14238
944851037;53,60233;10,13586
944880545;53,60164;10,13636
944880561;53,60141;10,13637
944880633;53,60126;10,13522
954867406;53,61534;10,14445
955077249;53,61413;10,13801
956310965;53,61647;10,14476
957236451;53,61715;10,13943
957236469;53,6172;10,13842
966551574;53,54183;9,997332
971095573;53,4886;10,15887
973646532;53,48237;10,17218
973646535;53,48288;10,17234
978689573;53,48537;10,18609
981969821;53,56401;10,05436
981969822;53,56583;10,05674
983251555;53,60391;10,05656
983773332;53,62854;10,15348
984654321;53,4889;10,16085
984664044;53,48868;10,16782
986842419;53,48946;10,15966
1012901563;53,64553;9,910145
1012901565;53,64883;9,908007
1013190019;53,61575;10,14291
1014923812;53,63708;9,916196
1015028037;53,64758;9,911319
1018690436;53,55679;10,11066
1023749818;53,64514;9,916981
1076836649;53,67321;10,11774
1084366214;53,57447;9,854302
1123230092;53,6528;10,18552
1139931203;53,57192;10,01937
1147132683;53,53955;10,12346
1229356109;53,58978;9,886566
1234635015;53,62864;10,15947
1235047146;53,55966;10,09347
1247004303;53,63002;10,16263
1275964246;53,55805;9,969229
1284291671;53,56008;9,890976
1291656052;53,55289;9,940192
1313199017;53,59645;10,02365
1327215134;53,56168;9,96036
1337324749;53,66013;10,02913
1343249823;53,61061;10,17545
1343249910;53,60771;10,17629
1343249928;53,60742;10,17625
1343843516;53,60635;10,17412
1345237161;53,56079;9,951797
1346726336;53,67542;10,03454
1346726339;53,67344;10,03511
1354992195;53,61779;9,880007
1365552511;53,6142;9,893245
1369267265;53,47866;9,869977
1378715765;53,60091;9,91095
1379721290;53,61765;9,952346
1379953340;53,62385;9,943713
1381852520;53,62198;9,946108
1381852521;53,62201;9,947194
1385008907;53,62491;9,95768
1385727252;53,57717;9,825867
1390496339;53,62526;9,961568
1399971643;53,55403;9,904018
1400709999;53,63501;9,958676
1404740310;53,61347;10,00993
1404742818;53,61341;10,00789
1407363009;53,57208;9,945955
1420325543;53,60333;10,07904
1426250544;53,58047;9,757323
1431204090;53,58115;9,75449
1431944060;53,58377;9,818347
1432023077;53,58322;9,813262
1432023121;53,58394;9,814599
1432023185;53,58455;9,816028
1440291551;53,57875;9,796
1442947589;53,60577;9,906135
1446358643;53,57584;9,831497
1452774389;53,47618;9,880627
1455172611;53,5752;9,857184
1467585103;53,59137;9,935711
1467585112;53,58983;9,936338
1474017175;53,5625;9,902916
1481572544;53,58976;9,961029
1481572545;53,58965;9,961056
1482759391;53,56941;10,03126
1485244205;53,64021;10,02639
1485266973;53,63981;10,02885
1485267002;53,6395;10,03002
1485711458;53,65477;10,01275
1489333015;53,55875;9,907042
1489333016;53,55886;9,907715
1490309448;53,57268;9,876945
1490931860;53,58998;9,961308
1492522486;53,5985;9,979534
1492522500;53,59865;9,979864
1497157333;53,55346;9,955262
1504958432;53,55357;9,921266
1504958436;53,55351;9,920643
1504959572;53,55272;9,919294
1509154960;53,63828;10,02707
1509277374;53,6438;9,915862
1509277375;53,64442;9,915906
1509576952;53,67243;10,03131
1510625759;53,59414;10,11574
1511324492;53,54699;9,950348
1511337273;53,54688;9,949699
1511349631;53,54673;9,949255
1511931890;53,54676;9,944295
1511940559;53,54682;9,946951
1516403302;53,54578;9,951267
1516403307;53,54563;9,950241
1516403320;53,5457;9,950364
1530296498;53,59368;9,953824
1541593156;53,62137;10,13244
1571194528;53,54666;9,955338
1583301377;53,51588;10,17004
1585164005;53,53593;9,859797
1586123315;53,5353;9,847271
1590088033;53,44339;9,970055
1594963870;53,52921;9,860671
1597437980;53,62579;10,16246
1598339902;53,55505;9,917236
1598339904;53,55428;9,917158
1598993442;53,60627;10,1072
1599412737;53,55656;9,913111
1599412774;53,55772;9,912094
1599412789;53,55755;9,911976
1600633407;53,55296;9,92202
1600633544;53,55285;9,921763
1606363171;53,56296;9,888677
1609905407;53,55538;9,913783
1611893803;53,51379;9,995122
1631605122;53,50702;9,993552
1637263576;53,49968;10,00792
1641843508;53,55419;9,940717
1642020632;53,49958;10,00823
1642439584;53,50614;9,995661
1660968782;53,51152;9,993662
1664754400;53,52711;9,879024
1664754573;53,52723;9,879606
1665067650;53,60096;10,01438
1667664858;53,52871;9,8805
1667664907;53,5286;9,877346
1667665041;53,5288;9,879502
1667665052;53,52765;9,877276
1667665068;53,52855;9,881471
1667665072;53,52831;9,882311
1667665081;53,52967;9,877383
1672262362;53,57218;9,945716
1704742189;53,44213;9,971912
1712770535;53,554;9,955725
1725960395;53,53311;10,03947
1748531640;53,60135;9,94221
1766707279;53,54693;10,10249
1767302749;53,54808;10,09728
1770455859;53,5003;10,20896
1776383633;53,58358;10,05882
1778195939;53,5928;9,949467
1778195940;53,59295;9,949349
1806261073;53,58641;9,949447
1807883084;53,55929;9,903936
1807883143;53,55963;9,90521
1807883180;53,55975;9,907086
1827878042;53,44187;10,00448
1838355832;53,48467;10,21765
1900580664;53,57638;9,830393
1900582096;53,57715;9,828791
1900585101;53,57754;9,828875
1912933010;53,59353;9,852206
1936724386;53,5594;9,943264
1936730485;53,54752;9,934305
1981433145;53,56027;9,926324
1981433155;53,56029;9,926228
2029201528;53,63078;9,912992
2031860752;53,58946;9,960029
2040834906;53,57579;10,08628
2058927440;53,57816;10,04671
2122616615;53,64667;9,999414
2136112326;53,58866;9,951255
2144674674;53,56741;9,94318
2165208960;53,66567;10,00212
2167421059;53,60483;10,12487
2177657932;53,56726;9,961915
2199427240;53,59597;10,02341
2202123607;53,56789;9,966029
2232358369;53,57569;9,854597
2232406103;53,57555;9,852794
2234706940;53,6014;10,11703
2251321866;53,56421;9,95621
2258690019;53,56925;9,952306
2262102899;53,57159;9,950042
2278955351;53,57151;9,947431
2278955459;53,57233;9,948018
2281157270;53,60266;9,944573
2287789060;53,57065;9,945494
2292494639;53,60347;10,09096
2296901509;53,56051;9,929384
2314581776;53,60843;10,14572
2329717976;53,67358;10,03237
2349673975;53,5639;9,873321
2351612815;53,49088;10,00619
2351612838;53,49203;10,00678
2351612852;53,49272;10,00866
2365194905;53,48425;10,01921
2365194961;53,48576;10,0199
2378337813;53,63037;9,947442
2394550915;53,62385;9,914062
2394550917;53,62441;9,914558
2395596873;53,637;9,915657
2397026909;53,55107;10,08953
2400090352;53,65403;10,01532
2408309890;53,48005;9,879284
2439038861;53,64841;10,16394
2476912437;53,55423;9,868216
2476912441;53,55418;9,868207
2476912444;53,55426;9,868381
2476912447;53,55429;9,868303
2476922532;53,55676;9,940287
2476922534;53,5568;9,940134
2476922536;53,55682;9,940303
2476922539;53,55683;9,940212
2476922548;53,55675;9,939949
2476922551;53,55688;9,940123
2476922555;53,55687;9,940142
2476922562;53,55676;9,940207
2476922571;53,5569;9,940239
2476922575;53,5569;9,940276
2487254069;53,59504;10,18507
2537185698;53,56507;10,12502
2545070620;53,48594;10,14171
2545070651;53,48805;10,15278
2545070655;53,48873;10,15436
2545070658;53,48859;10,15567
2545070663;53,48841;10,15691
2547050376;53,4873;10,1579
2547050385;53,4886;10,16444
2547050465;53,48636;10,16793
2547050527;53,4857;10,16591
2547050531;53,48505;10,16411
2547050532;53,48436;10,16387
2550319319;53,5395;9,993735
2587001254;53,55812;9,973605
2645601722;53,55696;9,915108
2720603483;53,57526;10,07431
2721781547;53,55801;9,906095
2725003200;53,58091;9,812861
2829637009;53,48663;10,15994
2886626462;53,44085;9,980926
2889221271;53,6178;9,885034
2895203461;53,48922;10,00316
2895203462;53,48587;10,00072
2901980585;53,55704;10,07956
2908030964;53,57356;10,09864
2908030968;53,57368;10,09935
2915069008;53,48752;10,16501
2915069009;53,48678;10,16472
2925363816;53,55803;9,939049
2973025337;53,5884;10,06755
2993632057;53,55313;10,0994
2997163426;53,48445;10,21089
3000093940;53,58383;10,14522
3016702554;53,67187;9,99795
3091447903;53,54806;9,930669
3091447928;53,60165;10,08073
3092541444;53,5647;9,978324
3099952275;53,43884;9,959178
3099960682;53,4394;9,960003
3124625523;53,57118;10,02371
3124628184;53,57236;10,1239
3126779123;53,44295;9,985768
3148784803;53,54227;10,09419
3148784804;53,54241;10,09328
3185434864;53,44035;9,94138
3210181725;53,43897;9,961124
